20180112_300_ja2_r1_GC6_01_5494	300_ja2_r1
20180112_300_ja2_r2_GC7_01_5495	300_ja2_r2
20180112_300_ja2_r3_GC8_01_5496	300_ja2_r3
20180112_300_ja2_r4_GD1_01_5497	300_ja2_r4
20180112_300_ja8_r1_GD2_01_5499	300_ja8_r1
20180112_300_ja8_r2_GD3_01_5500	300_ja8_r2
20180112_300_ja8_r3_GD4_01_5501	300_ja8_r3
20180112_300_ja8_r4_GD5_01_5502	300_ja8_r4
20180112_60_ja2_r1_GD6_01_5504	60_ja2_r1
20180112_60_ja2_r2_GD7_01_5505	60_ja2_r2
20180112_60_ja2_r3_GD8_01_5506	60_ja2_r3
20180112_60_ja2_r4_GE1_01_5507	60_ja2_r4
20180112_60_ja8_r1_GE2_01_5509	60_ja8_r1
20180112_60_ja8_r2_GE3_01_5510	60_ja8_r2
20180112_60_ja8_r3_GE4_01_5511	60_ja8_r3
20180112_60_ja8_r4_GE5_01_5512	60_ja8_r4
20180112_co2-1p00_r1_GA2_01_5469	co2_1p00_r1
20180112_co2-1p00_r2_GA3_01_5470	co2_1p00_r2
20180112_co2-1p00_r3_GA4_01_5471	co2_1p00_r3
20180112_co2-1p00_r4_GA5_01_5472	co2_1p00_r4
